ARTIGO,AUTOR,INSTITUIÇÃO,UF
https://even3.blob.core.windows.net/anais/800667.pdf,GERSON BACURY,UFAM,AM
https://even3.blob.core.windows.net/anais/800667.pdf,ROSANE GONÇALVES CRUZ,UFAM,AM
https://even3.blob.core.windows.net/anais/801012.pdf,LEONARD EULER VALENTE FEITOSA,UFAM,AM
https://even3.blob.core.windows.net/anais/801012.pdf,YACHIKO NASCIMENTO WAKIYAMA,UFAM,AM
https://even3.blob.core.windows.net/anais/801142.pdf,GERSON BACURY,UFAM,AM
https://even3.blob.core.windows.net/anais/801142.pdf,JOANDRIO NOGUEIRA DE SOUZA,UFAM,AM
https://even3.blob.core.windows.net/anais/801142.pdf,ROSANE GONÇALVES CRUZ,UFAM,AM
https://even3.blob.core.windows.net/anais/801423.pdf,DARLANE CRISTINA MACIEL SARAIVA,IFAM,AM
https://even3.blob.core.windows.net/anais/786855.pdf,LARISSA MASCARENHAS COELHO,IFAP,AP
https://even3.blob.core.windows.net/anais/786855.pdf,NAZARÉ FARIAS BRAZAO,IFAP,AP
https://even3.blob.core.windows.net/anais/788203.pdf,CRISTIANE DO SOCORRO DOS SANTOS NERY,UNIFAP,AP
https://even3.blob.core.windows.net/anais/788203.pdf,CLENIVALDO FORTE BATISTA,UFAP,AP
https://even3.blob.core.windows.net/anais/788433.pdf,ELIVALDO SERRAO CUSTÓDIO,UEAP,AP
https://even3.blob.core.windows.net/anais/788974.pdf,ELIVALDO SERRAO CUSTÓDIO,UEAP,AP
https://even3.blob.core.windows.net/anais/789035.pdf,GADI SILVA DOS SANTOS,IFAP,AP
https://even3.blob.core.windows.net/anais/789035.pdf,RUTE CARVALHO FARIAS,UEAP,AP
https://even3.blob.core.windows.net/anais/789035.pdf,MARCOS SILVA ALBUQUERQUE,UNIFAP,AP
https://even3.blob.core.windows.net/anais/789049.pdf,GADI SILVA DOS SANTOS,IFAP,AP
https://even3.blob.core.windows.net/anais/789049.pdf,RUTE CARVALHO FARIAS,UEAP,AP
https://even3.blob.core.windows.net/anais/789049.pdf,MARCOS SILVA ALBUQUERQUE,UNIFAP,AP
https://even3.blob.core.windows.net/anais/799128.pdf,JOSÉ RAIMUNDO COSTA TAVARES BISNETO,IFAP,AP
https://even3.blob.core.windows.net/anais/800127.pdf,ROMARO SILVA,IFAP,AP
https://even3.blob.core.windows.net/anais/800164.pdf,CRISTIANE DO SOCORRO DOS SANTOS NERY,UNIFAP,AP
https://even3.blob.core.windows.net/anais/800211.pdf,ROMARO SILVA,IFAP,AP
https://even3.blob.core.windows.net/anais/801571.pdf,ROMARO SILVA,IFAP,AP
https://even3.blob.core.windows.net/anais/801601.pdf,ANOAK FORTE BATISTA,IFAP,AP
https://even3.blob.core.windows.net/anais/801615.pdf,LEONARDO COSTA LOPES,IFAP,AP
https://even3.blob.core.windows.net/anais/801615.pdf,CESAR AUGUSTO DA SENA LAMEIRA,IFAP,AP
https://even3.blob.core.windows.net/anais/795201.pdf,CLARALIDIA ROCHA,UNEB,BA
https://even3.blob.core.windows.net/anais/795201.pdf,MARCOS VINICIUS CAVALCANTE DOS SANTOS,UNEB,BA
https://even3.blob.core.windows.net/anais/800924.pdf,ZULMA ELIZABETE DE FREITAS MADRUGA,UFRB,BA
https://even3.blob.core.windows.net/anais/801443.pdf,ZULMA ELIZABETE DE FREITAS MADRUGA,UFRB,BA
https://even3.blob.core.windows.net/anais/801822.pdf,GECIARA DA SILVA CARVALHO,UEFS,BA
https://even3.blob.core.windows.net/anais/801822.pdf,OLENÊVA SANCHES SOUSA,EtnoMatemaTicas Brasis,BA
https://even3.blob.core.windows.net/anais/801854.pdf,JOSÉ LUCAS MATIAS DE EÇA,UESB,BA
https://even3.blob.core.windows.net/anais/801854.pdf,ZULMA ELIZABETE DE FREITAS MADRUGA,UFRB,BA
https://even3.blob.core.windows.net/anais/802380.pdf,ELIANE COSTA SANTOS,UNILAB,BA
https://even3.blob.core.windows.net/anais/786254.pdf,EZEQUIAS ADOLFO DOMINGAS CASSELA,Escola Superior Pedagógica do Bié/Angola,Bié - Angola
https://even3.blob.core.windows.net/anais/801017.pdf,ELIENE ALVES DE AQUINO,UFC,CE
https://even3.blob.core.windows.net/anais/801017.pdf,ANTÔNIA FRANCIEUDA PINHEIRO CAVALCANTE,UNILAB,CE
https://even3.blob.core.windows.net/anais/801017.pdf,FRANCISCA PEREIRA PAIVA,UNILAB,CE
https://even3.blob.core.windows.net/anais/801017.pdf,MARIA VANDIA GUEDES LIMA,UNILAB,CE
https://even3.blob.core.windows.net/anais/801890.pdf,ELIENE ALVES DE AQUINO,UFC,CE
https://even3.blob.core.windows.net/anais/801890.pdf,ANA BEATRIZ DA SILVA LEMOS,UNILAB,CE
https://even3.blob.core.windows.net/anais/801890.pdf,ANTONIO ROBERTO XAVIER,UNILAB,CE
https://even3.blob.core.windows.net/anais/802000.pdf,ELIENE ALVES DE AQUINO,UFC,CE
https://even3.blob.core.windows.net/anais/802000.pdf,ANTÔNIA FRANCIEUDA PINHEIRO CAVALCANTE,UNILAB,CE
https://even3.blob.core.windows.net/anais/802000.pdf,FRANCISCA PEREIRA PAIVA,UNILAB,CE
https://even3.blob.core.windows.net/anais/802000.pdf,MARIA VANDIA GUEDES LIMA,UNILAB,CE
https://even3.blob.core.windows.net/anais/801769.pdf,ROGÉRIO FERREIRA,UnB,DF
https://even3.blob.core.windows.net/anais/788426.pdf,ALEXANDRE MAIA FERREIRA,IFES,ES
https://even3.blob.core.windows.net/anais/788426.pdf,JOSÉ CARLOS THOMPSON DA SILVA,IFES,ES
https://even3.blob.core.windows.net/anais/788426.pdf,LIGIA ARANTES SAD,IFES,ES
https://even3.blob.core.windows.net/anais/788931.pdf,CLAUDIA ALESSANDRA COSTA DE ARAUJO LORENZONI,IFES,ES
https://even3.blob.core.windows.net/anais/788931.pdf,ROMULO ALVES LUCIANO,IFES,ES
https://even3.blob.core.windows.net/anais/789057.pdf,ANA PAULA AZEVEDO MOURA CARETA,IFES,ES
https://even3.blob.core.windows.net/anais/789057.pdf,LIGIA ARANTES SAD,IFES,ES
https://even3.blob.core.windows.net/anais/789290.pdf,LIGIA ARANTES SAD,IFES,ES
https://even3.blob.core.windows.net/anais/789290.pdf,GÉSSICA GONÇALVES MARTINS,UFES,ES
https://even3.blob.core.windows.net/anais/790728.pdf,ANA PAULA AZEVEDO MOURA CARETA,IFES,ES
https://even3.blob.core.windows.net/anais/790728.pdf,ADRIANA VITORIANO BARBOSA,UFES,ES
https://even3.blob.core.windows.net/anais/790728.pdf,OZIRLEI TERESA MARCILINO,UFES,ES
https://even3.blob.core.windows.net/anais/801003.pdf,CLAUDIA ALESSANDRA COSTA DE ARAUJO LORENZONI,IFES,ES
https://even3.blob.core.windows.net/anais/801003.pdf,FABRICIA DE JESUS DA SILVA,IFES,ES
https://even3.blob.core.windows.net/anais/801676.pdf,APARECIDA FERREIRA LOPES, PMVV e PMV,ES
https://even3.blob.core.windows.net/anais/801676.pdf,SANDRA APARECIDA FRAGA DA SILVA,IFES,ES
